arm,feature_set,cell,n,ks_D,ks_p,powered,leak_sized
lognormal,A_state,period_start | 600+,10637,0.0695446313378083,3.538022554169084e-45,True,True
lognormal,B_plus_teams,DREB | 0-34,6552,0.17990230110741312,5.230401292782487e-186,True,True
lognormal,B_plus_teams,DREB | 120-299,39095,0.14375682543606,0.0,True,True
lognormal,B_plus_teams,DREB | 300-599,64535,0.10203249814531345,0.0,True,True
lognormal,B_plus_teams,DREB | 35-119,19776,0.10238425577569554,6.176503927110945e-181,True,True
lognormal,B_plus_teams,DREB | 600+,125715,0.05897959143120657,0.0,True,True
lognormal,B_plus_teams,TOV | 0-34,2984,0.25539070615495324,4.4241003257923096e-172,True,True
lognormal,B_plus_teams,TOV | 120-299,18055,0.10693201818946907,3.1211052590226575e-180,True,True
lognormal,B_plus_teams,TOV | 300-599,30745,0.10134280821110464,2.3793880029612566e-275,True,True
lognormal,B_plus_teams,TOV | 35-119,9196,0.07697547386587822,7.75084328719176e-48,True,True
lognormal,B_plus_teams,TOV | 600+,63019,0.07739675659243284,0.0,True,True
lognormal,B_plus_teams,made_FG | 0-34,5322,0.3085517463128651,0.0,True,True
lognormal,B_plus_teams,made_FG | 120-299,40350,0.20385410542381763,0.0,True,True
lognormal,B_plus_teams,made_FG | 300-599,67288,0.17988107419197122,0.0,True,True
lognormal,B_plus_teams,made_FG | 35-119,19323,0.12379760312172289,1.4441840071170986e-258,True,True
lognormal,B_plus_teams,made_FG | 600+,137113,0.1309618493733432,0.0,True,True
lognormal,B_plus_teams,made_FT | 0-34,4977,0.3458719845804462,0.0,True,True
lognormal,B_plus_teams,made_FT | 120-299,12683,0.2207995492961216,0.0,True,True
lognormal,B_plus_teams,made_FT | 300-599,16571,0.2092911436921377,0.0,True,True
lognormal,B_plus_teams,made_FT | 35-119,8641,0.10579575959175946,1.1360127512279385e-84,True,True
lognormal,B_plus_teams,made_FT | 600+,23057,0.1677247608256059,0.0,True,True
lognormal,B_plus_teams,other | 0-34,422,0.22727024420067965,1.225330064376124e-19,True,True
lognormal,B_plus_teams,other | 120-299,548,0.10314292430949001,1.5751843587497588e-05,True,True
lognormal,B_plus_teams,other | 300-599,830,0.12331010647192808,1.856858876907595e-11,True,True
lognormal,B_plus_teams,other | 35-119,352,0.18477884465211464,5.4193746589070146e-11,True,True
lognormal,B_plus_teams,other | 600+,1365,0.16779942814918392,4.594805681827633e-34,True,True
lognormal,B_plus_teams,period_start | 300-599,356,0.31624184274282724,3.765724207366996e-32,True,True
lognormal,B_plus_teams,period_start | 600+,10637,0.0713209492988453,1.7034417723683993e-47,True,True
lognormal,C_plus_score,DREB | 0-34,6552,0.17599631085579823,5.558321942333853e-178,True,True
lognormal,C_plus_score,DREB | 120-299,39095,0.14708620746420725,0.0,True,True
lognormal,C_plus_score,DREB | 300-599,64535,0.09814940313226167,0.0,True,True
lognormal,C_plus_score,DREB | 35-119,19776,0.10891958513840772,8.902995418308596e-205,True,True
lognormal,C_plus_score,DREB | 600+,125715,0.05939427492989052,0.0,True,True
lognormal,C_plus_score,TOV | 0-34,2984,0.2500678966502627,6.744701707060187e-165,True,True
lognormal,C_plus_score,TOV | 120-299,18055,0.11300762369857992,2.6493241157023496e-201,True,True
lognormal,C_plus_score,TOV | 300-599,30745,0.09941392021173906,5.817336123624271e-265,True,True
lognormal,C_plus_score,TOV | 35-119,9196,0.07652581792849011,2.768465494265607e-47,True,True
lognormal,C_plus_score,TOV | 600+,63019,0.07713965222808405,0.0,True,True
lognormal,C_plus_score,made_FG | 0-34,5322,0.3042349522999806,0.0,True,True
lognormal,C_plus_score,made_FG | 120-299,40350,0.20704473658466516,0.0,True,True
lognormal,C_plus_score,made_FG | 300-599,67288,0.17410776879567608,0.0,True,True
lognormal,C_plus_score,made_FG | 35-119,19323,0.13237123892123087,1.0537800921494537e-295,True,True
lognormal,C_plus_score,made_FG | 600+,137113,0.12890756942002352,0.0,True,True
lognormal,C_plus_score,made_FT | 0-34,4977,0.33434688357163556,0.0,True,True
lognormal,C_plus_score,made_FT | 120-299,12683,0.22768296639872945,0.0,True,True
lognormal,C_plus_score,made_FT | 300-599,16571,0.2073682289127633,0.0,True,True
lognormal,C_plus_score,made_FT | 35-119,8641,0.10591520364606055,7.321562898464547e-85,True,True
lognormal,C_plus_score,made_FT | 600+,23057,0.16359404800584537,0.0,True,True
lognormal,C_plus_score,other | 0-34,422,0.23227884776088625,1.6705099564967362e-20,True,True
lognormal,C_plus_score,other | 120-299,548,0.10016970142840487,3.070055981975166e-05,True,True
lognormal,C_plus_score,other | 300-599,830,0.11665176668055843,2.689943046507468e-10,True,True
lognormal,C_plus_score,other | 35-119,352,0.17961397808997237,2.085732973286011e-10,True,True
lognormal,C_plus_score,other | 600+,1365,0.16549224848834987,3.854883027104535e-33,True,True
lognormal,C_plus_score,period_start | 300-599,356,0.31145857641186864,3.5424368142367947e-31,True,True
lognormal,C_plus_score,period_start | 600+,10637,0.07250981477231133,4.441299932659838e-49,True,True
lognormal,D_plus_season,DREB | 0-34,6552,0.1752910544480603,1.4957483794969686e-176,True,True
lognormal,D_plus_season,DREB | 120-299,39095,0.15103328615166506,0.0,True,True
lognormal,D_plus_season,DREB | 300-599,64535,0.102290646289459,0.0,True,True
